"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"320","GMO_H_BG",NA,NA,NA,NA,NA,"5",0,0
"321","GNM_V_NB",NA,"J",NA,NA,NA,"5",0,0
"322","VT_H",NA,NA,NA,NA,NA,"5",0,0
"323","NVO_H_BG",NA,"J",NA,NA,NA,"5",0,0
"324","NT_H_BG",NA,NA,NA,NA,NA,"5",0,0
"325","X52",NA,NA,NA,NA,NA,"5",0,0
"326","X48",NA,NA,NA,NA,NA,"5",0,0
"327","NVN_H_BG",NA,NA,NA,NA,NA,"5",0,0
"328","GNB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"329","GVN_H_BG",NA,NA,NA,NA,NA,"5",0,0
"330","NVG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"331","NVB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"332","NPG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"333","GT_H_BG","M","A",NA,NA,NA,"5",0,0
"334","GOM_H_BG",NA,NA,NA,NA,NA,"5",0,0
"335","NPV_H_BG",NA,NA,NA,NA,NA,"5",0,0
"336","N_H_BG",NA,"J",NA,NA,NA,"5",0,0
"337","NPN_H_BG",NA,NA,NA,NA,NA,"5",0,0
"338","NPB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"339","NPM_H_BG",NA,NA,NA,NA,NA,"5",0,0
"340","GMG_H_BG",NA,"J",NA,NA,NA,"5",0,0
"341","GO_H_BG","M","A",NA,NA,NA,"5",0,0
"342","GBN_H_BG","M","A",NA,NA,NA,"5",0,0
"343","NPO_H_BG",NA,NA,NA,NA,NA,"5",0,0
"344","NOP_H_BG",NA,NA,NA,NA,NA,"5",0,0
"345","PNO_V_NB",NA,NA,NA,NA,NA,"3",0,0
"346","X25",NA,NA,NA,NA,NA,"5",0,0
"347","OGO_H_MA","M","A",NA,NA,NA,"4",0,0
"348","GTO_V_NB",NA,NA,NA,NA,NA,"3",0,0
"349","GMV_H_BG","F","A",NA,NA,NA,"5",0,0
