"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"213","20190815","1","OMN_V_BA","1-RED",3980.159,"1","op","Rop","R","op","BA"
"214","20190815","1","TOP_V_BA","1-RED",3987.359,"1","op","Rop","R","op","BA"
"215","20190815","1","OVM_V_BA","1-RED",4005.879,"3","op","Rop","R","op","BA"
"216","20190815","1","118","1-RED",4009.376,"2","op","Rop","R","op","BA"
"217","20190815","1","TOP_V_BA","1-RED",4037.337,"5","op","Rop","R","op","BA"
"218","20190816","1","TMG_V_BA","1-BLUE",69.758,"0","op","Bop","B","op","BA"
"219","20190816","1","TMG_V_BA","1-RED",129.334,"2","op","Rop","R","op","BA"
"220","20190816","1","TMP_V_BA","1-RED",178.98,"1","op","Rop","R","op","BA"
"221","20190816","1","TMG_V_BA","1-RED",188.001,"0","op","Rop","R","op","BA"
"222","20190816","1","TMG_V_BA","1-BLUE",232.897,"1","op","Bop","B","op","BA"
"223","20190816","1","TMG_V_BA","1-RED",293.828,"0","op","Rop","R","op","BA"
"224","20190816","1","TMG_V_BA","1-RED",341.801,"3","op","Rop","R","op","BA"
"225","20190816","1","TOP_V_BA","1-RED",380.257,"4","op","Rop","R","op","BA"
"226","20190816","1","BVB_V_BA","1-RED",386.215,"4","op","Rop","R","op","BA"
"227","20190816","1","BVB_V_BA","1-RED",411.445,"3","op","Rop","R","op","BA"
"228","20190816","1","TMG_V_BA","1-RED",427.433,"4","op","Rop","R","op","BA"
"229","20190816","1","TOP_V_BA","1-RED",429.168,"3","op","Rop","R","op","BA"
"230","20190816","1","NGO_V_MA","1-RED",454.911,"3","op","Rop","R","op","BA"
"231","20190816","1","BTV_V_BA","1-RED",456.537,"2","op","Rop","R","op","BA"
"232","20190816","1","BPB_V_BA","1-RED",457.369,"2","op","Rop","R","op","BA"
"233","20190816","1","TMG_V_BA","1-BLUE",469.777,"2","op","Bop","B","op","BA"
"234","20190816","1","TOP_V_BA","1-RED",501.151,"5","op","Rop","R","op","BA"
"235","20190816","1","TMG_V_BA","1-BLUE",506.681,"3","op","Bop","B","op","BA"
"236","20190816","1","BPT_V_BA","1-RED",524.496,"1","op","Rop","R","op","BA"
"237","20190816","1","TMP_V_BA","1-RED",534.997,"6","op","Rop","R","op","BA"
"238","20190816","1","BTV_V_BA","1-RED",542.372,"4","op","Rop","R","op","BA"
