"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"2170",2170,20190824,1,"TMP_V_BA","1-BLUE",778.373,NA,"drops","Bdr","B","dr","BA",0,1,0,89,1,2,2170,86,0
"2171",2171,20190824,1,"TMP_V_BA","1-BLUE",779.945,NA,"op","Bop","B","op","BA",0,1,1,89,1,2,2171,86,0
"2220",2220,20190824,1,"TMP_V_BA","1-BLUE",951.671,8,"op","Bop","B","op","BA",0,1,1,89,1,2,2220,86,0
"2229",2229,20190824,1,"TMP_V_BA","1-RED",1001.001,10,"op","Rop","R","op","BA",1,0,1,89,1,2,2229,86,0
"2247",2247,20190824,1,"TMP_V_BA","1-RED",1060.784,10,"op","Rop","R","op","BA",1,0,1,89,1,2,2247,86,0
"1246",1246,20190821,2,"TNB_V_BA","1-RED",710.15,7,"op","Rop","R","op","BA",1,0,1,90,0,0,1246,87,0
"528",528,20190819,2,"TNO_V_BA","1-BLUE",668.315,3,"op","Bop","B","op","BA",0,1,1,91,0,0,528,88,0
"549",549,20190819,2,"TNO_V_BA","1-RED",738.87,4,"op","Rop","R","op","BA",1,0,1,91,0,0,549,88,0
"584",584,20190819,2,"TNO_V_BA","1-RED",920.216,5,"op","Rop","R","op","BA",1,0,1,91,0,0,584,88,0
"612",612,20190819,2,"TNO_V_BA","1-RED",1037.822,5,"op","Rop","R","op","BA",1,0,1,91,0,0,612,88,0
"679",679,20190819,2,"TNO_V_BA","1-RED",1303.794,4,"op","Rop","R","op","BA",1,0,1,91,0,0,679,88,0
"714",714,20190819,2,"TNO_V_BA","1-RED",1554.587,0,"op","Rop","R","op","BA",1,0,1,91,0,0,714,88,0
"746",746,20190819,2,"TNO_V_BA","1-RED",1703.493,2,"op","Rop","R","op","BA",1,0,1,91,0,0,746,88,0
"830",830,20190819,2,"TNO_V_BA","1-RED",2067.733,6,"op","Rop","R","op","BA",1,0,1,91,0,0,830,88,0
